|server1 | server2 | Database1 | Database2 |Connection1|Connection2| section | book | symbol | startTime           | endTime     |        
|M2|M2 Red|cc| cc_uat    |CcMaster|CcSlave| default | B    | XAGUSD | 2014/10/28 17:00:00 | 2014/10/30 15:06:00 |
|M2|M2 Red|cc| cc_uat    |CcMaster|CcSlave| default | A    | EURUSD | 2014/10/28 17:00:00 | 2014/10/30 15:06:00 |
|M2|M2 Red|cc| cc_uat    |CcMaster|CcSlave| default | A    | GBPUSD | 2014/10/28 17:00:00 | 2014/10/30 15:06:00 |
|M2|M2 Red|cc| cc_uat    |CcMaster|CcSlave| default | A    | GBPJPY | 2014/10/28 17:00:00 | 2014/10/30 15:06:00 |
|M2|M2 Red|cc| cc_uat    |CcMaster|CcSlave| default | A    | USDCHF | 2014/10/28 17:00:00 | 2014/10/30 15:06:00 |
|M2|M2 Red|cc| cc_uat    |CcMaster|CcSlave| default | A    | EURCHF | 2014/10/28 17:00:00 | 2014/10/30 15:06:00 |
|M2|M2 Red|cc| cc_uat    |CcMaster|CcSlave| default | A    | USDJPY | 2014/10/28 17:00:00 | 2014/10/30 15:06:00 |
|M2|M2 Red|cc| cc_uat    |CcMaster|CcSlave| default | A    | XAUUSD | 2014/10/28 17:00:00 | 2014/10/30 15:06:00 |
|M2|M2 Red|cc| cc_uat    |CcMaster|CcSlave| default | A    | ZARJPY | 2014/10/28 17:00:00 | 2014/10/30 15:06:00 |
|M2|M2 Red|cc| cc_uat    |CcMaster|CcSlave| default | A    | USDMXN | 2014/10/28 17:00:00 | 2014/10/30 15:06:00 |
|M2|M2 Red|cc| cc_uat    |CcMaster|CcSlave| default | B    | GBPUSD | 2014/10/28 17:00:00 | 2014/10/30 15:06:00 |
|M2|M2 Red|cc| cc_uat    |CcMaster|CcSlave| default | B    | USDJPY | 2014/10/28 17:00:00 | 2014/10/30 15:06:00 |
|M2|M2 Red|cc| cc_uat    |CcMaster|CcSlave| default | B    | XAUUSD | 2014/10/28 17:00:00 | 2014/10/30 15:06:00 |
|M2|M2 Red|cc| cc_uat    |CcMaster|CcSlave| default | B    | XAGUSD | 2014/10/28 17:00:00 | 2014/10/30 15:06:00 |
|M2|M2 Red|cc| cc_uat    |CcMaster|CcSlave| default | B    | EURJPY | 2014/10/28 17:00:00 | 2014/10/30 15:06:00 |
|M2|M2 Red|cc| cc_uat    |CcMaster|CcSlave| default | B    | EURTRY | 2014/10/28 17:00:00 | 2014/10/30 15:06:00 |
