HiSource,LoSource,Diff,Delta,Start,End
Unknown,Unknown,0,0,1/1/0001 12:00:00 AM,1/1/0001 12:00:00 AM
Unknown,Unknown,0,0,1/1/0001 12:00:00 AM,1/1/0001 12:00:00 AM
Unknown,Unknown,0,0,1/1/0001 12:00:00 AM,1/1/0001 12:00:00 AM
Unknown,Unknown,0,0,1/1/0001 12:00:00 AM,1/1/0001 12:00:00 AM
Unknown,Unknown,0,0,1/1/0001 12:00:00 AM,1/1/0001 12:00:00 AM
Unknown,Unknown,0,0,1/1/0001 12:00:00 AM,1/1/0001 12:00:00 AM
Unknown,Unknown,0,0,1/1/0001 12:00:00 AM,1/1/0001 12:00:00 AM
Unknown,Unknown,0,0,1/1/0001 12:00:00 AM,1/1/0001 12:00:00 AM
Unknown,Unknown,0,0,1/1/0001 12:00:00 AM,1/1/0001 12:00:00 AM
Unknown,Unknown,0,0,1/1/0001 12:00:00 AM,1/1/0001 12:00:00 AM
Unknown,Unknown,0,0,1/1/0001 12:00:00 AM,1/1/0001 12:00:00 AM
Unknown,Unknown,0,0,1/1/0001 12:00:00 AM,1/1/0001 12:00:00 AM
Unknown,Unknown,0,0,1/1/0001 12:00:00 AM,1/1/0001 12:00:00 AM
Unknown,Unknown,0,0,1/1/0001 12:00:00 AM,1/1/0001 12:00:00 AM
Unknown,Unknown,0,0,1/1/0001 12:00:00 AM,1/1/0001 12:00:00 AM
Unknown,Unknown,0,0,1/1/0001 12:00:00 AM,1/1/0001 12:00:00 AM
Unknown,Unknown,0,0,1/1/0001 12:00:00 AM,1/1/0001 12:00:00 AM
Unknown,Unknown,0,0,1/1/0001 12:00:00 AM,1/1/0001 12:00:00 AM
Unknown,Unknown,0,0,1/1/0001 12:00:00 AM,1/1/0001 12:00:00 AM
Unknown,Unknown,0,0,1/1/0001 12:00:00 AM,1/1/0001 12:00:00 AM
