HiSource,LoSource,Diff,Delta,Start,End
CC,ARS,48000.000000000,8000.000000000,5/5/2014 8:17:21 AM,5/5/2014 8:18:23 AM
CC,ARS,84000.000000000,6000.000000000,5/5/2014 4:26:25 PM,5/5/2014 4:27:28 PM
CC,ARS,58000.000000000,4000.000000000,5/5/2014 10:06:34 AM,5/5/2014 10:07:36 AM
CC,ARS,50000.000000000,4000.000000000,5/5/2014 7:33:42 AM,5/5/2014 7:34:44 AM
CC,ARS,7000.000000000,4000.000000000,5/5/2014 1:45:34 AM,5/5/2014 1:46:37 AM
CC,ARS,82000.000000000,2000.000000000,5/5/2014 5:15:16 PM,5/5/2014 5:16:18 PM
CC,ARS,81000.000000000,2000.000000000,5/5/2014 10:31:15 PM,5/5/2014 10:32:18 PM
CC,ARS,48000.000000000,2000.000000000,5/5/2014 7:55:31 AM,5/5/2014 7:56:34 AM
CC,ARS,36000.000000000,2000.000000000,5/5/2014 6:11:34 AM,5/5/2014 6:12:37 AM
CC,ARS,90000.000000000,0.000000000,5/5/2014 4:09:47 PM,5/5/2014 4:10:50 PM
CC,ARS,90000.000000000,0.000000000,5/5/2014 4:10:50 PM,5/5/2014 4:11:52 PM
CC,ARS,90000.000000000,0.000000000,5/5/2014 4:11:52 PM,5/5/2014 4:12:54 PM
CC,ARS,90000.000000000,0.000000000,5/5/2014 4:12:54 PM,5/5/2014 4:13:57 PM
CC,ARS,90000.000000000,0.000000000,5/5/2014 4:13:57 PM,5/5/2014 4:14:59 PM
CC,ARS,90000.000000000,0.000000000,5/5/2014 4:14:59 PM,5/5/2014 4:16:02 PM
CC,ARS,90000.000000000,0.000000000,5/5/2014 4:16:02 PM,5/5/2014 4:17:04 PM
CC,ARS,90000.000000000,0.000000000,5/5/2014 4:17:04 PM,5/5/2014 4:18:06 PM
CC,ARS,90000.000000000,0.000000000,5/5/2014 4:18:06 PM,5/5/2014 4:19:09 PM
CC,ARS,90000.000000000,0.000000000,5/5/2014 4:19:09 PM,5/5/2014 4:20:11 PM
CC,ARS,90000.000000000,0.000000000,5/5/2014 4:20:11 PM,5/5/2014 4:21:14 PM
